id,domain,pmid,name,osEntrez
GO:0099092,CC,12727444,"postsynaptic density, intracellular component (GO:0099092)",12388
GO:0098891,CC,21119615,extrinsic component of presynaptic active zone membrane (GO:0098891),320127
GO:0008021,CC,21119615,synaptic vesicle (GO:0008021),320127
GO:0098919,BP,21525273,structural constituent of postsynaptic density (GO:0098919),13385
GO:0099061,CC,19726645,integral component of postsynaptic density membrane (GO:0099061),14810
GO:0099061,CC,19726645,integral component of postsynaptic density membrane (GO:0099061),14811
GO:0099061,CC,19726645,integral component of postsynaptic density membrane (GO:0099061),14812
GO:0050807,BP,27793698,regulation of synapse organization (GO:0050807),234267
GO:0050804,BP,11377840,modulation of chemical synaptic transmission (GO:0050804),21960
GO:2000300,BP,18504299,regulation of synaptic vesicle exocytosis (GO:2000300),94245
GO:1904315,BP,18987204,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14814
GO:0099061,CC,14555717,integral component of postsynaptic density membrane (GO:0099061),14799
GO:1904315,BP,11431570,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),14799
GO:0045202,CC,9852129,synapse (GO:0045202),228355
GO:0098693,BP,20007772,regulation of synaptic vesicle cycle (GO:0098693),69908
GO:0045202,CC,22423108,synapse (GO:0045202),228998
GO:0008089,BP,22705394,anterograde axonal transport (GO:0008089),216344
GO:0150036,BP,27296803,"regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission (GO:0150036)",18479
GO:0050804,BP,25411505,modulation of chemical synaptic transmission (GO:0050804),192198
GO:1905606,BP,23911103,regulation of presynapse assembly (GO:1905606),14735
SYNGO:postsyn_ATPmetabolic,BP,9371836,ATP metabolic process in the postsynapse,14433
GO:0045202,CC,24413018,synapse (GO:0045202),71978
GO:0099162,BP,12488440,regulation of synaptic vesicle neurotransmitter loading (GO:0099162),14433
GO:0050804,BP,20962234,modulation of chemical synaptic transmission (GO:0050804),109934
GO:0050804,BP,20962234,modulation of chemical synaptic transmission (GO:0050804),110279
GO:0099171,BP,21119615,presynaptic modulation of chemical synaptic transmission (GO:0099171),320127
GO:0099562,BP,19229292,maintenance of postsynaptic density structure (GO:0099562),104418
GO:0050804,BP,25411505,modulation of chemical synaptic transmission (GO:0050804),241568
GO:0050804,BP,25411505,modulation of chemical synaptic transmission (GO:0050804),80883
GO:0050804,BP,25411505,modulation of chemical synaptic transmission (GO:0050804),171171
GO:0099055,CC,2592994,integral component of postsynaptic membrane (GO:0099055),17967
GO:0050807,BP,11827984,regulation of synapse organization (GO:0050807),58235
GO:0050807,BP,28871037,regulation of synapse organization (GO:0050807),19277
GO:0050807,BP,19816407,regulation of synapse organization (GO:0050807),19281
GO:0099175,BP,21068316,regulation of postsynapse organization (GO:0099175),66860
GO:0099524,CC,9446825,postsynaptic cytosol (GO:0099524),13138
GO:0099629,CC,23751499,postsynaptic specialization of symmetric synapse (GO:0099629),235086
GO:0099523,CC,18445495,presynaptic cytosol (GO:0099523),66725
GO:0030285,CC,23958595,integral component of synaptic vesicle membrane (GO:0030285),20518
GO:0099175,BP,24889507,regulation of postsynapse organization (GO:0099175),22084
GO:0014069,CC,27898073,postsynaptic density (GO:0014069),22084
GO:0098974,BP,18430734,postsynaptic actin cytoskeleton organization (GO:0098974),74117
