msEntrez,Association,PMID,Source
69926,Autism,,SFARI-Gene_genes
381917,Autism,,SFARI-Gene_genes
227325,Autism,,SFARI-Gene_genes
13435,Autism,,SFARI-Gene_genes
330662,Autism,,SFARI-Gene_genes
238130,Autism,,SFARI-Gene_genes
76088,Autism,,SFARI-Gene_genes
227697,Autism,,SFARI-Gene_genes
269109,Autism,,SFARI-Gene_genes
75221,Autism,,SFARI-Gene_genes
13482,Autism,,SFARI-Gene_genes
13483,Autism,,SFARI-Gene_genes
99586,Autism,,SFARI-Gene_genes
12934,Autism,,SFARI-Gene_genes
22240,Autism,,SFARI-Gene_genes
13489,Autism,,SFARI-Gene_genes
13490,Autism,,SFARI-Gene_genes
13508,Autism,,SFARI-Gene_genes
252864,Autism,,SFARI-Gene_genes
13544,Autism,,SFARI-Gene_genes
69496,Autism,,SFARI-Gene_genes
71200,Autism,,SFARI-Gene_genes
13424,Autism,,SFARI-Gene_genes
13548,Autism,,SFARI-Gene_genes
13593,Autism,,SFARI-Gene_genes
13628,Autism,,SFARI-Gene_genes
76740,Autism,,SFARI-Gene_genes
13655,Autism,,SFARI-Gene_genes
77683,Autism,,SFARI-Gene_genes
382236,Autism,,SFARI-Gene_genes
12727,Autism,,SFARI-Gene_genes
13392,Autism,,SFARI-Gene_genes
13488,Autism,,SFARI-Gene_genes
53356,Autism,,SFARI-Gene_genes
13684,Autism,,SFARI-Gene_genes
15569,Autism,,SFARI-Gene_genes
15571,Autism,,SFARI-Gene_genes
54326,Autism,,SFARI-Gene_genes
77766,Autism,,SFARI-Gene_genes
13799,Autism,,SFARI-Gene_genes
328572,Autism,,SFARI-Gene_genes
75560,Autism,,SFARI-Gene_genes
227867,Autism,,SFARI-Gene_genes
233545,Autism,,SFARI-Gene_genes
13844,Autism,,SFARI-Gene_genes
223650,Autism,,SFARI-Gene_genes
13876,Autism,,SFARI-Gene_genes
77767,Autism,,SFARI-Gene_genes
13983,Autism,,SFARI-Gene_genes
26380,Autism,,SFARI-Gene_genes
110826,Autism,,SFARI-Gene_genes
211446,Autism,,SFARI-Gene_genes
105504,Autism,,SFARI-Gene_genes
107371,Autism,,SFARI-Gene_genes
75914,Autism,,SFARI-Gene_genes
14042,Autism,,SFARI-Gene_genes
16592,Autism,,SFARI-Gene_genes
70864,Autism,,SFARI-Gene_genes
436062,Autism,,SFARI-Gene_genes
73833,Autism,,SFARI-Gene_genes
330554,Autism,,SFARI-Gene_genes
14107,Autism,,SFARI-Gene_genes
14118,Autism,,SFARI-Gene_genes
59079,Autism,,SFARI-Gene_genes
225055,Autism,,SFARI-Gene_genes
207215,Autism,,SFARI-Gene_genes
677296,Autism,,SFARI-Gene_genes
54713,Autism,,SFARI-Gene_genes
14161,Autism,,SFARI-Gene_genes
14198,Autism,,SFARI-Gene_genes
14265,Autism,,SFARI-Gene_genes
15228,Autism,,SFARI-Gene_genes
14302,Autism,,SFARI-Gene_genes
333605,Autism,,SFARI-Gene_genes
242425,Autism,,SFARI-Gene_genes
14396,Autism,,SFARI-Gene_genes
14397,Autism,,SFARI-Gene_genes
14402,Autism,,SFARI-Gene_genes
14407,Autism,,SFARI-Gene_genes
271786,Autism,,SFARI-Gene_genes
71685,Autism,,SFARI-Gene_genes
67092,Autism,,SFARI-Gene_genes
14544,Autism,,SFARI-Gene_genes
217039,Autism,,SFARI-Gene_genes
57330,Autism,,SFARI-Gene_genes
227331,Autism,,SFARI-Gene_genes
230587,Autism,,SFARI-Gene_genes
109801,Autism,,SFARI-Gene_genes
237213,Autism,,SFARI-Gene_genes
14683,Autism,,SFARI-Gene_genes
13972,Autism,,SFARI-Gene_genes
14735,Autism,,SFARI-Gene_genes
23888,Autism,,SFARI-Gene_genes
14571,Autism,,SFARI-Gene_genes
268566,Autism,,SFARI-Gene_genes
14763,Autism,,SFARI-Gene_genes
64450,Autism,,SFARI-Gene_genes
14799,Autism,,SFARI-Gene_genes
14800,Autism,,SFARI-Gene_genes
14803,Autism,,SFARI-Gene_genes
14804,Autism,,SFARI-Gene_genes
170935,Autism,,SFARI-Gene_genes
14806,Autism,,SFARI-Gene_genes
70611,Autism,,SFARI-Gene_genes
14453,Autism,,SFARI-Gene_genes
14775,Autism,,SFARI-Gene_genes
14807,Autism,,SFARI-Gene_genes
110637,Autism,,SFARI-Gene_genes
14809,Autism,,SFARI-Gene_genes
14810,Autism,,SFARI-Gene_genes
14811,Autism,,SFARI-Gene_genes
14812,Autism,,SFARI-Gene_genes
74053,Autism,,SFARI-Gene_genes
108071,Autism,,SFARI-Gene_genes
108073,Autism,,SFARI-Gene_genes
14863,Autism,,SFARI-Gene_genes
14886,Autism,,SFARI-Gene_genes
234889,Autism,,SFARI-Gene_genes
15161,Autism,,SFARI-Gene_genes
15165,Autism,,SFARI-Gene_genes
208727,Autism,,SFARI-Gene_genes
70315,Autism,,SFARI-Gene_genes
110611,Autism,,SFARI-Gene_genes
269700,Autism,,SFARI-Gene_genes
329152,Autism,,SFARI-Gene_genes
72927,Autism,,SFARI-Gene_genes
319190,Autism,,SFARI-Gene_genes
15204,Autism,,SFARI-Gene_genes
16656,Autism,,SFARI-Gene_genes
14972,Autism,,SFARI-Gene_genes
14991,Autism,,SFARI-Gene_genes
15312,Autism,,SFARI-Gene_genes
56258,Autism,,SFARI-Gene_genes
51810,Autism,,SFARI-Gene_genes
26556,Autism,,SFARI-Gene_genes
15394,Autism,,SFARI-Gene_genes
15461,Autism,,SFARI-Gene_genes
319415,Autism,,SFARI-Gene_genes
15483,Autism,,SFARI-Gene_genes
15551,Autism,,SFARI-Gene_genes
15561,Autism,,SFARI-Gene_genes
59026,Autism,,SFARI-Gene_genes
244653,Autism,,SFARI-Gene_genes
15893,Autism,,SFARI-Gene_genes
16178,Autism,,SFARI-Gene_genes
331461,Autism,,SFARI-Gene_genes
60367,Autism,,SFARI-Gene_genes
67781,Autism,,SFARI-Gene_genes
93757,Autism,,SFARI-Gene_genes
16329,Autism,,SFARI-Gene_genes
68510,Autism,,SFARI-Gene_genes
18130,Autism,,SFARI-Gene_genes
404710,Autism,,SFARI-Gene_genes
245666,Autism,,SFARI-Gene_genes
238330,Autism,,SFARI-Gene_genes
16416,Autism,,SFARI-Gene_genes
16438,Autism,,SFARI-Gene_genes
16443,Autism,,SFARI-Gene_genes
